date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other,Risk-free rate
192803,4.41,27.49,8.19,5.32,19.42,1.96,8.49,10.54,6.62,6.09,0.29
192804,-0.46,1.46,1.5,15.12,2.23,3.22,0,2.35,10.94,4.22,0.22
192805,0.9,5.65,3.53,-5.29,2.3,6.61,3.79,9.27,1.51,0.01,0.32
192806,-4.41,-4.08,-4.93,-4.07,-5.03,-5.22,-3.4,-3.15,-3.43,-4.27,0.31
192807,1.68,0.94,1.99,1.05,0.65,-1.28,5.44,2.39,-1.24,-0.36,0.32
192808,6.11,9.04,8.67,2.41,9.75,4.55,13.53,14.57,6.46,4.75,0.32
192809,1.14,7.88,4.17,5.34,0.66,0.15,0.17,-1.14,3.76,1.98,0.27
192810,0.9,0.08,4.33,2.04,1.85,2.97,5.9,0.05,-1.89,-0.42,0.41
192811,6.62,4.51,13.08,17.23,19.56,6.68,15.29,5.05,21.93,10.02,0.38
192812,-0.52,-1.22,3.08,-4.36,7.13,-0.38,-1.32,-0.41,1.57,0.45,0.06
192901,3.38,1.3,11.02,-7.59,10.46,13.38,-3.88,3.43,13.17,5.59,0.34
192902,-2.62,-0.03,3.4,-0.1,-0.71,-1.15,-2.41,0.05,-1.99,0.02,0.36
192903,-4.62,-1.88,-1.83,11.03,4.5,4.29,-5.13,-1.5,-3.17,-2.16,0.34
192904,1.8,-0.98,2.3,0.74,1.78,3.39,3.75,1.48,5.13,0.44,0.36
192905,-3.98,-15.05,-9.79,-5.57,0.33,-8.77,-8.65,-7.84,4.8,0.03,0.44
192906,5.32,7.01,13.28,1.14,17.18,13.7,9.47,4.52,23.47,5.73,0.52
192907,3.23,-2.95,4.05,0.16,9.24,13.68,0.96,2.59,9.14,6.61,0.33
192908,4.77,3,9.34,11.36,12.54,10.98,7.8,3.09,9.05,7.82,0.4
192909,-3.6,-8.35,-7.17,-2.95,-7.56,-1.37,-5.38,-7.02,1.32,-6.44,0.35
192910,-10.64,-28.94,-19.61,-10.07,-27.73,-15.39,-24,-18.02,-30.04,-11.88,0.46
192911,-8.45,-17.31,-14.13,-6.42,-19.24,-9.47,-12.59,-7.9,-14.64,-9.58,0.37
192912,0.7,4.9,1.5,-1.18,10.78,1.01,-5.98,1.11,7.94,-0.49,0.37
193001,5.7,5.95,6.9,-0.76,10.61,1.2,4.73,2.55,7.25,4.76,0.14
193002,2.15,2.44,2.14,-4.49,7.75,7.06,-5.13,3.15,8.57,3.29,0.3
193003,2.12,11.37,6.89,17.94,8.12,8.79,-2.44,5.99,9.72,4.79,0.35
193004,0.55,-7.81,-7.42,6.55,1.97,-4.52,2.6,-1.27,3.34,-6.55,0.21
193005,1.36,4.12,-1.78,-3.73,-4.4,0.4,-0.16,-1.49,-1.33,-0.93,0.26
193006,-11.04,-22.27,-16.46,-15.47,-19.74,-8.34,-16.15,-13.34,-19.06,-11.82,0.27
193007,3.14,12.1,4.75,5.18,4.07,1.27,2.7,6.52,4.06,3.46,0.2
193008,1.98,-1.89,-0.06,-3.2,2.21,1.74,4.96,7.71,1.18,-0.36,0.09
193009,-8.96,-16.73,-13.7,-15.46,-18.24,-5.27,-10.91,-8.7,-11.92,-10.56,0.22
193010,-4.85,-11.64,-9.91,-8.37,-17.35,-4.12,-8.61,-4.37,-8.28,-8.43,0.09
193011,0.18,5.37,-0.42,-3.72,-3.26,-3.27,2.74,-3.23,-8.74,-5.17,0.13
193012,-4.59,-1.26,-8.21,-12.32,-10.76,-3.8,-13.44,-6.79,-3.69,-8.81,0.14
193101,5.4,8.02,3.47,5.31,5.24,4.79,7.19,8.23,5.53,11.83,0.15
193102,6.81,17.37,12.85,5.77,22.38,5.95,14.79,7.81,15.27,5.52,0.04
193103,-1.69,-3.81,-6.77,-14.26,-7.76,-3.58,-3.27,1.8,-2.94,-9.41,0.13
193104,-5.29,-7.87,-14.15,-13.45,-13.04,-4.25,-4.84,-3.62,-9.04,-9.88,0.08
193105,-11.01,-16.08,-16.42,-12.54,-12.92,-8.94,-3.27,-10.26,-11.15,-17.44,0.09
193106,10.73,14.63,17.38,17.57,18.69,10.21,7.86,9.69,11,16.34,0.08
193107,-3.81,-2.1,-10.23,-3.63,-10.38,-4.87,-1.53,2.61,-5.39,-9.91,0.06
193108,-0.65,-2.78,-0.15,9.48,3.71,0.82,3.02,0.39,-1.74,-3.9,0.03
193109,-24.69,-34.8,-29.82,-29.84,-33.87,-21.56,-30.24,-29.45,-33.05,-26.5,0.03
193110,6.89,12.96,6.18,14.02,11.3,4.34,13.97,11.26,10.48,1.88,0.1
193111,-4.35,-3.49,-8.31,-8.69,-14.16,-6.86,-9.4,-2.79,-4.77,-19.2,0.17
193112,-9.51,-8.78,-15.33,-18.91,-13.54,-7.94,-15.17,-4.1,-13.24,-16.48,0.12
193201,2.06,-6.9,-0.5,-4.86,-11.42,-4.04,0.79,-2.66,-2.52,6.71,0.23
193202,5.37,2.09,5.96,8.75,6.28,11.63,4.11,2.05,7.04,-0.19,0.23
193203,-5.98,-22.18,-14.36,-1.1,-14.41,-9.9,-9.27,-6.41,-9.57,-15.99,0.16
193204,-11.35,-29.53,-22.95,-13.94,-24.17,-12.39,-15.71,-19.77,-15.5,-22.34,0.11
193205,-21.22,-18.59,-18.23,-5.56,-28.6,-10.81,-29.4,-34.08,-26.82,-30.03,0.06
193206,1.16,-7.82,-2.57,5.94,6.99,-9.55,-0.59,11.05,1.45,-2.01,0.02
193207,24.7,44.95,41.74,35.13,44.2,16.7,27.11,29.18,29.35,55.78,0.03
193208,22.71,45.25,46.41,19.49,45.64,28.17,32.91,35.87,43.46,58.75,0.03
193209,-0.86,8.5,-2.45,-10.16,-5.6,0.24,3.06,-11.92,-4.65,-4.13,0.03
193210,-11.41,-24.75,-15.83,-3.79,-19.04,-8.13,-12.68,-18.56,-10.82,-18.01,0.02
193211,-7.1,-2.71,-10.3,-4.53,-8.25,-1.12,-5.61,5.53,-3.6,-6.88,0.02
193212,3.81,4.47,3.25,0.05,7.53,3.67,5,6.82,9.12,4.9,0.01
193301,4.65,0.83,3.42,-3.01,1.43,0.31,-2.4,-1.13,-4.38,8.54,0.01
193302,-9.06,-24.48,-17.53,-13.9,-20.09,-7.77,-17.96,-10.82,-19.85,-16.42,-0.03
193303,10.37,9.23,11.26,4.39,6.23,-5.85,8.53,-3.16,-12.79,3.8,0.04
193304,34.17,79.79,57.2,38.99,53.49,13.22,42.45,37.13,25.36,30.73,0.1
193305,12.71,26.05,26.03,17.71,19.82,17.37,17.06,23.49,19.29,31.5,0.04
193306,10.34,20.75,12.41,12.5,10.82,10.5,16.26,10.39,15.58,14.51,0.02
193307,-6.61,-7.05,-11.36,-12.05,-11.07,-4.36,-13.46,-19.11,-13.58,-6.67,0.02
193308,9.86,20.76,16.21,19.07,12.89,4.53,7.15,-0.38,-1.23,14.6,0.03
193309,-7.45,-15.32,-10.09,-2.69,-17.14,-3.56,-8.74,-1.31,-19.74,-16.41,0.02
193310,-9.12,-10.06,-8.02,-4.85,-9.73,-7.18,-7.83,-6.02,-7.5,-10.84,0.01
193311,5.21,25.38,12.73,14.69,12.83,5.63,14.45,9.4,-2.39,5.34,0.02
193312,-3.39,10.45,4.61,-1.27,1.49,-3.75,4.57,-11.73,1.05,4.7,0.02
193401,10.02,13.2,11.09,8.73,16.08,5.97,17.3,16.77,20.52,18.55,0.05
193402,-4.98,-2.06,-3.16,-3.38,-6.31,2.12,3.03,-3.59,-1.69,-1.89,0.02
193403,1.17,-0.3,-1.25,-1.33,3.18,1.27,2.4,-0.64,-1.8,0.83,0.02
193404,3.1,-6.85,-2.75,-1.99,-2.33,-1.25,-1.21,8,-3.75,-1.65,0.01
193405,-3,-12.82,-10.06,-4.64,-6.6,-4.3,-7.92,-0.38,-7.73,-7.35,0.01
193406,3.85,-2.75,4.25,1.2,2.79,1.32,2.43,2.04,4.26,3.1,0.01
193407,-5.12,-13.83,-11.56,-9.73,-11.89,-4.34,-8.35,-1.89,-17.24,-17.28,0.01
193408,4.22,10.87,7.52,6.12,6.59,2.56,4.72,-3.05,2.04,4.44,0.01
193409,0.23,0.68,-1.13,-2.32,-0.32,1.9,2.55,0.8,1.61,-0.35,0.01
193410,0.61,-2.08,-0.46,-4.69,-0.93,-1.56,1.68,-0.71,-7.61,-2.21,0.01
193411,8.49,17.61,12.63,7.03,13.52,-1.73,9.61,4.07,-0.25,5.63,0.01
193412,-0.94,3.56,2.21,0.68,3.66,-0.59,-1.04,0.62,-8.66,-0.17,0.01
193501,-1.41,-9.03,-2.39,-4.37,1.13,-0.46,-5.27,-0.86,-3.16,-6.71,0.01
193502,1.61,-3.27,-1.8,-3.35,0.19,1.04,-0.62,4.25,-12.16,-4.7,0.02
193503,-4.62,-5.82,-4.79,-3.82,-4.14,-0.72,-4.33,-3.14,12.34,-5.32,0.01
193504,5.72,5.73,8.96,15.48,10.24,9.13,6.47,3.18,11.14,8.75,0.01
193505,1.1,2.96,1.86,3.51,2.64,8.38,2.53,-4.02,13.76,3.89,0.01
193506,5.51,9.78,6.51,1.51,7.73,5.35,6.28,4.09,9.11,6.32,0.01
193507,3.14,19.08,10.78,0.13,9.6,5.74,7.51,3.19,9.22,7.27,0.01
193508,-1.56,9.01,3.25,-1.89,3.21,4.07,3.09,0.29,7.21,3.39,0.01
193509,1.69,11.09,4.22,-3.33,7.75,4.28,-0.57,1.11,-2.03,0.63,0.01
193510,4.48,13.63,5.85,13.52,8.8,3.11,1.22,5.97,14.13,2.4,0.01
193511,1.1,3.49,4.58,2.78,5.82,9.72,2.92,1.74,0.82,13.19,0.02
193512,2.08,5.8,3.69,14.09,3.51,-0.16,-1.02,2.35,5.62,4.3,0.01
193601,3.24,3.89,5.6,14.06,6.49,4.17,-2.81,3.46,12.53,12.15,0.01
193602,0.61,3.74,5.56,1.26,0.34,6.57,0.99,3.45,-6.59,2.79,0.01
193603,-2.08,10.19,2.44,1.75,-0.05,-3.37,1.14,3.52,0.64,-2.96,0.02
193604,-4.45,-10.15,-8.93,-10.28,-8.63,-5.66,-5.24,-9.19,-8.34,-7.43,0.02
193605,4.96,4.06,6.2,-0.57,5.22,6.46,6.7,4.8,9.52,7.4,0.02
193606,2.32,6.86,1.29,1.73,1.3,2.43,5.29,1.29,3.62,1.78,0.03
193607,2.97,4.91,7.69,4.74,12.05,2.44,6.21,4.65,11.59,9.65,0.01
193608,0.84,-0.28,1.65,-0.67,2.41,1.76,2.49,-1.48,-1.03,1.83,0.02
193609,-0.66,3.26,2.07,1.39,-1.25,0.33,2.94,0.77,-2.05,0.89,0.01
193610,3.37,5.08,7.73,12.48,5.75,5.09,11.22,3.78,5.72,8.11,0.02
193611,4.53,-1.37,5.44,1.48,5.5,3.87,11,3.4,-2.86,0.49,0.01
193612,-1.42,-7.24,1.93,9.24,2.63,-0.4,-8.14,-2.04,-1.63,-1.18,0
193701,2.45,7.27,4.6,2.41,8.62,-0.85,0.07,3.47,2.61,1.04,0.01
193702,0.89,-0.5,2.66,1.49,-1.32,-3.06,3.06,-3.72,-4.19,4.76,0.02
193703,-1.01,-4.13,1.35,3.39,-4.49,-2.09,-2.73,-5.03,-6.32,2.68,0.01
193704,-6.38,-7.9,-9.16,-5.3,-7.62,-5.25,-7.24,-3.32,-7.47,-6.83,0.03
193705,-0.44,-1.97,1,-0.24,0.8,1.53,-4.54,1.68,-5.27,-3.33,0.06
193706,-3.24,-10.77,-3.61,-2.66,-1.46,1.39,-1.59,-4.12,-5.26,-8.94,0.03
193707,5.07,13.23,9.21,8.42,9.55,3.27,10.33,4.14,19.32,8.74,0.03
193708,-2.47,-2.27,-4.43,-6.57,-4.76,-2.54,-4.27,1.09,-10.18,-8.34,0.02
193709,-9.12,-12.67,-17.45,-13.21,-14.12,-2.1,-14.1,-10.76,-11.75,-15.89,0.04
193710,-7.06,-12.88,-13.87,-6.95,-7.19,-5.36,-7.04,-3.55,-4.88,-10.13,0.02
193711,-5.86,-15.24,-9.32,-11.48,-4.59,-3.59,-14.36,-5.12,2.9,-6.85,0.02
193712,-2.27,-16.27,-2.42,-1.25,-2.2,-1.54,-6.55,-2.41,-10.69,-6.63,0
193801,2.96,11.05,-1.24,0.51,-2.47,-2.43,5.92,3.52,-5.7,0.49,0
193802,3.46,3.47,8.67,9.42,4.34,-2.32,9.5,8.61,3.64,4.88,0
193803,-15.79,-27.35,-25.72,-25.2,-27.72,-17.44,-22.19,-14.44,-19.61,-29.74,-0.01
193804,12.27,14.85,13.88,15.92,16.76,13.47,16.18,11.82,14.78,14.53,0.01
193805,-0.23,-6.92,-6.89,-5.82,-2.99,0.83,-3.86,1.71,2.21,-3.96,0
193806,13.2,36.01,32.89,21.98,27.3,12.42,24.03,10.07,16.9,24.86,0
193807,6.61,19.89,6.8,7.38,5.85,1.28,9.06,5.8,0.68,10,-0.01
193808,-4.02,5.97,-1.92,-8.82,-1.19,0.28,-2.4,0.36,-5.53,-3.73,0
193809,0.51,0.69,1.67,0.82,1.6,0.85,0.06,-0.01,1.23,-1.25,0.02
193810,5.15,6.49,10.61,-1.56,10.08,3.56,8.04,5.63,21.09,11.1,0.01
193811,-2.49,-1.2,-1.45,-0.11,-4.34,0.65,-0.37,1.44,-7.01,-2.02,-0.06
193812,2.76,2.12,5.59,4.86,3.08,2.57,1.03,0.85,3.95,6.32,0
193901,-1.92,-8.33,-9.32,-6.29,-7.5,1.81,-3.14,-0.96,1.21,-8.65,-0.01
193902,2.46,7.06,3,-1.18,2.76,3.53,6.2,3.72,8.78,4.7,0.01
193903,-5.75,-17.63,-15.57,-8.31,-14.99,-2.21,-9.59,-4.33,-13.63,-14.95,-0.01
193904,0.62,0.72,-1.32,-1.06,-2.71,2.75,-0.13,1,3.03,-1.83,0
193905,5.47,7.89,7.62,2.56,8.28,5.56,11.38,5.49,6.61,8.01,0.01
193906,-2.04,-6.78,-6.38,-6.12,-8,-3.79,-2.7,1.1,-3.55,-7.62,0.01
193907,6.22,17.58,12.9,3.03,14.04,6.51,8.71,3.08,12.71,11.59,0
193908,-7.36,-6.94,-6.79,-3.91,-8.09,-4.19,-7.33,-5.43,-6.01,-9.97,-0.01
193909,4.79,23.72,27,25.56,12.26,2.37,1.59,7.07,3.6,25.59,0.01
193910,3.26,-1.4,-2.56,-3.93,-0.89,3.05,5.77,0.21,2.11,-1.59,0
193911,-0.47,-2.92,-5.99,-6.14,-2.59,0.97,-2.31,1.22,-1.49,-5.05,0
193912,3.17,3.88,3.97,-0.08,3.61,2.87,3.03,3.77,2.95,2.38,0
194001,1.69,-3.83,-4.63,-2.19,-4.2,-0.12,-0.95,-1.79,-0.05,-2.66,0
194002,0.94,2.08,2.7,0.97,-0.58,1.04,2.51,1.48,-1.24,0.88,0
194003,1.65,3.78,1.54,1.72,3.05,1.16,3.08,1.9,1.74,2.63,0
194004,1.75,-0.54,0.76,0.18,-1.49,0.33,-0.13,-0.31,-1.35,-0.77,0
194005,-20.91,-26.04,-22.21,-24.47,-20.77,-14.13,-24.41,-21.21,-19.94,-24.01,-0.02
194006,5.38,8.68,4.2,5.67,3.01,8.72,9.01,4.91,17.43,8.56,0
194007,-0.02,5.92,4.33,3.19,5,1.97,4.39,-0.52,0.08,3.38,0.01
194008,1.34,7.39,2.49,1.42,3.31,-0.36,2.9,-2.29,-1.04,2.88,-0.01
194009,2.53,3.17,4.14,-2.26,4.22,1.66,3.32,4.61,-2.19,2.46,0
194010,-1.41,3.94,4.1,6.3,2.43,1.61,0.08,-3,3.82,5.3,0
194011,-0.99,-0.63,-1.48,0.87,-2.81,0.61,-2.15,-1.82,-13.06,-0.09,0
194012,0.55,-3.29,1.19,2.31,-0.09,2.04,0.43,-0.23,1.76,0.24,0
194101,-0.51,-9.22,-7.09,-2.14,-2.56,-2.1,-3.63,-2.19,-2.16,-1.62,-0.01
194102,-2.49,1.27,-2.04,-0.69,-0.34,-2.23,-2.53,-4.69,-1.2,-0.31,-0.01
194103,0.56,-1.7,0.77,3.74,0.34,1.78,1.21,1.77,-3.33,1.81,0.01
194104,-4.13,-10.57,-5.69,1.4,-8.83,-6.35,-5.22,-5.22,-9.61,-4.44,-0.01
194105,-1.4,0.41,3.66,5.46,-0.42,0.4,2.27,-1.45,-4.43,-0.93,0
194106,6.28,3.9,6.48,5.22,10.76,5.04,5.1,6.72,3.94,4.51,0
194107,5.53,3.97,7.11,11.06,1.8,-0.38,4.74,8.03,5.33,7.52,0.03
194108,0.83,2.34,-0.65,-3.46,0.74,1.06,2.37,0.08,-2.06,0.2,0.01
194109,1.78,4.14,-2.9,-0.66,-0.78,0.25,0.43,-0.21,-2.85,-2.57,0.01
194110,-7.04,-7.98,-6.43,2.19,-10.11,-2.72,-5.2,-3.69,-9.68,-4.11,0
194111,-3.15,-3.64,-1.39,3.13,-2.04,-4.03,-4.52,-2.93,-6.68,-1.54,0
194112,-3.95,-11.79,0.78,-11.1,0.47,-8.59,-9.83,-1.59,-7.48,-5.36,0.01
194201,2.54,6.25,-2.19,-1.63,0.95,-1.37,0.66,-2.99,4.09,9.54,0.02
194202,-5.5,5.15,-2.41,-5.83,-2.46,-0.57,-1.92,-5.35,-2.45,-1.86,0.01
194203,-8.29,1.42,-5.56,-8.24,-6.27,-6.91,-7.09,-5.54,-12.13,-8.98,0.01
194204,-4.1,-4.37,-4.59,-3.57,-3.62,-7.32,-5.88,-4.45,-3.42,-2,0.01
194205,8.76,9.95,1.75,6.77,7.86,7.72,11.75,14.69,8.4,3.55,0.03
194206,3.55,1.77,3.51,4.42,4.58,-2.23,2.54,2.85,1.7,1.97,0.02
194207,2.42,2.1,2.76,6.05,1.81,4.48,4.96,1.6,-0.44,6.59,0.03
194208,0.8,2.33,1.34,3.54,0.73,2.49,1.71,2.43,0.8,2.41,0.03
194209,-0.07,2.59,3.25,2.36,5.16,2.04,0.67,0.26,5.83,3.38,0.03
194210,4.51,5.82,6.72,9.62,6.27,6.19,0.62,4.13,15.15,8.91,0.03
194211,2.71,-0.14,-2.36,0.91,2.02,2.63,6.66,1.58,-1.31,-2.06,0.03
194212,4.72,8.19,5.27,7.49,6.14,0.35,2.73,8.69,4.36,4.47,0.03
194301,9.14,5.24,6.98,6.4,9.8,3.78,6.92,2.47,14.7,7.06,0.03
194302,3.62,7.58,5.23,7.91,3.43,8.81,3.08,3.64,7.92,9.43,0.03
194303,4.36,5.06,6,7,7.42,0.62,8.68,4.56,4.67,10.07,0.03
194304,1.03,0.53,-1.43,0.97,1.18,4.16,1.87,1.4,4.02,2.19,0.03
194305,6.56,6.58,5.37,5.69,6.26,4.57,7.49,5.13,4.55,5.58,0.03
194306,2.05,4.85,0.87,1.19,2.42,2.27,5.59,0.5,4.19,-0.78,0.03
194307,-1.87,-9.7,-6.81,-2.86,-7.31,-0.18,-3.15,-3.26,-0.49,-5.21,0.03
194308,0.94,3.48,0.67,1.1,0.49,0.91,3.74,0.26,1.84,1.41,0.03
194309,2.18,1.69,2.66,1.41,5.18,1.45,2.16,4.02,3.87,2.18,0.03
194310,-0.27,-1.12,-0.84,-2.06,-3.43,0.73,-2.4,0.57,0.56,-1.08,0.03
194311,-4.57,-5.32,-6.44,-6.93,-6.43,-1.74,-4.5,-3.93,-8.38,-7.97,0.03
194312,6.14,7.94,5.9,7.2,8,3.14,6.92,3.94,7.41,7.16,0.03
194401,3.97,1.02,1.94,0.61,0.63,0.86,0.78,0.29,-0.33,4.48,0.03
194402,-0.53,3.68,-0.36,0.09,-2.13,0.88,1.05,-2.64,1.52,2.06,0.03
194403,2.83,4.77,2.27,1.87,3.79,0.74,2.28,2.46,1.79,2.65,0.02
194404,-1.95,-1.18,-2.03,-1.37,-1.92,-0.57,-1,-2.36,-0.92,-2.45,0.03
194405,5.33,7.91,5.56,4.97,3.63,2.83,5.07,5.68,2.78,4.28,0.03
194406,5.64,9.31,7.1,0.53,7.49,3.21,5.83,3.85,4.91,5.94,0.03
194407,-0.35,-4.93,-1.95,-1.21,-1.82,-0.37,-0.08,-1.24,0.2,-0.8,0.03
194408,2.56,3.98,2.16,-1.94,1.96,0.67,3.12,0.76,3.66,0.36,0.03
194409,-0.23,0.61,0.55,-1.38,-0.65,0.27,1.81,0.43,-1.53,0.11,0.02
194410,-0.03,-2.74,-0.33,1.87,0.82,0.75,0.44,1.09,1.36,0.69,0.03
194411,1.27,2.22,0.86,2.63,1.59,0.7,2.79,0.52,-0.4,4.29,0.03
194412,2.03,3.97,4.24,5.14,4.64,0.72,2.15,1.71,3.11,8.45,0.02
194501,2.64,1.37,2.8,4.92,0.67,-2.11,0.07,0.56,5.69,0.61,0.03
194502,3.95,7.65,6.95,7.31,6.6,2.85,4.52,4.25,6.11,7.85,0.02
194503,-3,-6.03,-4.78,-5.25,-3.81,-0.11,-1.37,-1.83,-3.09,-3.53,0.02
194504,7.1,11.15,8.41,6.9,8.05,2.51,7.16,6.33,10.1,8.82,0.03
194505,2.33,0.78,0.8,-0.87,1.82,3.76,6.26,4.11,1.89,3.09,0.03
194506,0.89,-1.53,-0.16,-0.5,-1.88,2.62,-3.14,-4.65,5.16,4.46,0.02
194507,-1.44,-0.98,-2.99,-3.23,-1.73,2.18,-0.11,-1.62,-0.33,-5.47,0.03
194508,7.72,9.41,8.83,2.22,9.74,1.74,8.22,9.19,1.03,2.56,0.03
194509,6.28,2.74,6.17,1.98,3.4,1.9,5.64,6.51,6.59,6.08,0.03
194510,6.77,0.2,2.28,6.33,0.76,2.36,5.96,6.61,6.18,5.76,0.03
194511,3.68,2.62,4.84,8.37,2.7,3.39,6.92,8.58,4.81,9.14,0.02
194512,1.29,2.54,1.56,-0.24,2.63,0.48,3.46,1.53,-1,0.15,0.03
194601,4.85,6.67,8,-0.07,6.45,1.91,10.98,7.76,10.84,7.4,0.03
194602,-4.82,-8.94,-6.09,-4.67,-7.36,-2.82,-4.23,-4.31,-5.73,-6.14,0.03
194603,6.35,0.98,5.67,11.04,2.15,1.16,11.4,14.57,6.27,4.67,0.03
194604,3.54,1.42,4.33,8.77,1.7,1.59,7.2,14.67,4.34,1.7,0.03
194605,3.35,5.14,5.01,3.68,5.14,2.82,1.9,5.64,3.04,3.38,0.03
194606,-3.6,-5.92,-3.58,-3.15,-5.26,0.3,-7.69,-5.52,-2.8,-3.26,0.03
194607,-0.75,-4.75,-3.27,-0.06,-3.29,-0.08,-2.99,-3.22,-3.63,-4.95,0.03
194608,-5.27,-10.34,-6.69,-5.61,-6.89,-7,-4.83,-3.24,-5.35,-6.78,0.03
194609,-10.68,-14.88,-10.39,-8.05,-9.79,-4.74,-6.88,-7.03,-8.97,-14.38,0.03
194610,0.39,-3.31,-1.88,-0.66,-2.82,-5.13,-2.25,-0.24,1.43,-0.46,0.03
194611,-1.31,-1.13,1.74,0.56,-2.12,1.79,-4.94,1.67,0.8,0,0.03
194612,3.75,6.16,6.64,4.39,4.73,3.77,4.06,7.23,6.09,2.77,0.03
194701,0.23,10.9,0.9,-0.65,5.38,1.03,0.68,-5.32,-0.14,0.46,0.03
194702,-0.31,1.54,-0.68,-2.7,-2.08,-2.05,-0.39,-4.19,-0.9,-1.27,0.03
194703,-2.2,-2.7,-1.6,2.29,-2.29,-2.15,-2.2,-1.26,-2.79,-3.33,0.03
194704,-6.68,-4.08,-5.74,-0.44,-5.21,-0.22,-7.97,-8.6,-3.75,-6.26,0.03
194705,-0.5,-2.16,-2.09,2.52,-0.29,-1.1,-0.37,-2.68,-2.48,-2.07,0.03
194706,6.53,5.87,5.74,7.76,3.87,-3.17,9.88,4.19,3.97,3.18,0.03
194707,4.65,5.2,3.88,3.87,6.34,0.81,4.61,2.6,2.54,5.99,0.03
194708,-1.38,-0.76,-1.01,-2.3,-4.21,0.36,-3.54,-3.83,0.24,-3.18,0.03
194709,0.4,0.17,0.7,-2.71,1.13,0.84,-2.8,-2.62,-1.31,-0.97,0.06
194710,1.36,2.93,3.24,5.24,1.74,0.21,3.03,1.22,0.15,1.01,0.06
194711,-1.69,-2.68,-1.2,-0.34,-0.55,-2.57,-2.41,-3.04,-7.6,-1.98,0.06
194712,0.69,2.24,2.62,9.29,2.48,0.44,0.36,3.1,1.19,3.7,0.08
194801,-2.69,-5.35,-4.08,-7.43,-5.53,0.1,-3.29,-8.23,-0.21,-0.86,0.07
194802,-6.12,-5.42,-5.33,-2.96,-3.94,-1.06,-3.8,-3.53,-3.47,-4.11,0.07
194803,5.46,7.25,9.62,9.93,11.1,1.95,6.67,6.33,6.61,9.93,0.09
194804,1.31,1.17,2.51,11.22,-0.59,2.65,5.08,2.14,1.5,3.24,0.08
194805,5.09,14.43,7.87,6.08,12.77,2.49,8.57,6.78,5.74,6.79,0.08
194806,-2,0.3,-0.98,3.49,-1.41,0.44,-1.3,-2.19,2.59,-0.82,0.09
194807,-1.67,-4.37,-4.99,-7.18,-6.6,-1.65,-7.72,-4.25,-4.36,-4.96,0.08
194808,0.02,1.12,0.41,-2.01,3.07,0.06,2.49,-1.9,0.1,1.53,0.09
194809,-3.95,-3.88,-2.65,-4.46,-3.17,-0.23,-0.93,-3.08,-0.91,-3.42,0.04
194810,3.64,7.95,6.69,9.2,6.85,1.11,4.14,5.19,4.43,4.95,0.04
194811,-6.17,-11.87,-10.15,-12.18,-9.25,-2.06,-5.72,-5.74,-9.07,-10.58,0.04
194812,0.68,3.44,4.04,4.72,6.31,1.09,1.53,4.54,2.66,2.87,0.04
194901,3.67,2.44,0.31,-3.83,-1.33,-1.26,1.17,4.57,4.76,0.31,0.1
194902,-1.93,-3.69,-3.43,-4.3,-4.21,-0.3,-2.27,-0.93,0.67,-3.17,0.09
